Scheme_Code,Category,Scheme_Name,AMC_Name
148609,Dividend Yield Fund,HDFC Dividend Yield Fund - Growth Option Direct Plan,HDFC Mutual Fund
119723,ELSS – Tax Saver Fund,SBI ELSS Tax Saver FUND - DIRECT PLAN -GROWTH,SBI Mutual Fund
119060,ELSS – Tax Saver Fund,HDFC ELSS Tax saver - Growth Option - Direct Plan,HDFC Mutual Fund
135781,ELSS – Tax Saver Fund,Mirae Asset ELSS Tax Saver Fund - Direct Plan - Growth,Mirae Asset Mutual Fund
118285,ELSS – Tax Saver Fund,CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - GROWTH OPTION,Canara Robeco Mutual Fund
147481,ELSS – Tax Saver Fund,Parag Parikh ELSS Tax Saver Fund- Direct Growth,PPFAS Mutual Fund
120616,Conservative Hybrid Fund,ICICI Prudential Regular Savings Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund
120154,Conservative Hybrid Fund,Kotak Debt Hybrid - Growth - Direct,Kotak Mahindra Mutual Fund
119118,Conservative Hybrid Fund,HDFC Hybrid Debt Fund - Growth Option - Direct Plan,HDFC Mutual Fund
119839,Conservative Hybrid Fund,SBI Conservative Hybrid Fund - Direct Plan - Growth,SBI Mutual Fund
118309,Conservative Hybrid Fund,CANARA ROBECO CONSERVATIVE HYBRID FUND - DIRECT PLAN - GROWTH OPTION,Canara Robeco Mutual Fund
120251,Aggressive Hybrid Fund,ICICI Prudential Equity & Debt Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund
119062,Aggressive Hybrid Fund,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,HDFC Mutual Fund
119609,Aggressive Hybrid Fund,SBI EQUITY HYBRID FUND - DIRECT PLAN - Growth,SBI Mutual Fund
118272,Aggressive Hybrid Fund,CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN - GROWTH OPTION,Canara Robeco Mutual Fund
133035,Aggressive Hybrid Fund,Kotak Aggressive Hybrid Fund - Direct Plan -Growth,Kotak Mahindra Mutual Fund
118968,Dynamic Asset Allocation Fund,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,HDFC Mutual Fund
120377,Dynamic Asset Allocation Fund,ICICI Prudential Balanced Advantage Fund - Direct Plan -  Growth,ICICI Prudential Mutual Fund
118615,Dynamic Asset Allocation Fund,Edelweiss Balanced Advantage Fund -Direct Plan-Growth Option,Edelweiss Mutual Fund
144335,Dynamic Asset Allocation Fund,Kotak Balanced Advantage Fund  - Direct Plan -Growth Option,Kotak Mahindra Mutual Fund
131670,Dynamic Asset Allocation Fund,Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan - Growth Option,Aditya Birla Sun Life Mutual Fund
120334,Multi Asset Allocation Fund,ICICI Prudential Multi-Asset Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund
119131,Multi Asset Allocation Fund,HDFC Multi-Asset Fund - Growth Option - Direct Plan,HDFC Mutual Fund
119843,Multi Asset Allocation Fund,SBI MULTI ASSET ALLOCATION FUND - DIRECT PLAN - GROWTH,SBI Mutual Fund
120524,Multi Asset Allocation Fund,Axis Multi Asset Allocation Fund - Direct Plan - Growth Option,Axis Mutual Fund
120760,Multi Asset Allocation Fund,UTI Multi Asset Allocation Fund - Direct Plan - Growth Option,UTI Mutual Fund
119771,Arbitrage Fund,Kotak Arbitrage Fund - Direct Plan - Growth,Kotak Mahindra Mutual Fund
120364,Arbitrage Fund,ICICI Prudential Arbitrage Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund
129052,Arbitrage Fund,HDFC ARBITRAGE FUND -Direct Plan - Growth Option,HDFC Mutual Fund
118585,Arbitrage Fund,Nippon India Arbitrage Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund
119526,Arbitrage Fund,Aditya Birla Sun Life Arbitrage Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund
140347,Equity Savings Fund,Edelweiss Equity Savings Fund - Direct Plan - Growth Option,Edelweiss Mutual Fund
131373,Equity Savings Fund,Kotak Equity Savings Fund - Direct - Growth,Kotak Mahindra Mutual Fund
140444,Equity Savings Fund,Mahindra Manulife Equity Savings Fund - Direct Plan -Growth,Mahindra Manulife Mutual Fund
135120,Equity Savings Fund,Axis Equity Savings Fund - Direct Plan - Growth,Axis Mutual Fund
119110,Overnight Fund,HDFC Overnight Fund - Growth Option - Direct Plan,HDFC Mutual Fund
145536,Overnight Fund,ICICI Prudential Overnight Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund
119833,Overnight Fund,SBI OVERNIGHT FUND - DIRECT PLAN - GROWTH,SBI Mutual Fund
146141,Overnight Fund,Kotak Overnight Fund -Direct Plan-Growth Option,Kotak Mahindra Mutual Fund
146675,Overnight Fund,Axis Overnight Fund - Direct Plan - Growth Option,Axis Mutual Fund
119091,Liquid Fund,HDFC Liquid Fund - Growth Option - Direct Plan,HDFC Mutual Fund
120197,Liquid Fund,ICICI Prudential Liquid Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund
119800,Liquid Fund,SBI Liquid Fund - DIRECT PLAN -Growth,SBI Mutual Fund
119766,Liquid Fund,Kotak Liquid Fund - Direct Plan - Growth,Kotak Mahindra Mutual Fund
118701,Liquid Fund,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund
145034,Ultra Short Term Fund,HDFC Ultra Short Term Fund - Direct Plan-Growth Option,HDFC Mutual Fund
120676,Ultra Short Term Fund,ICICI Prudential Ultra Short Term Fund - Direct Plan -  Growth,ICICI Prudential Mutual Fund
